"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"BLUE_PILL";"BLUE_PILL";"U$1";"";"";
"2";"";"LED3MM";"LED3MM";"LED_DATA2, LED_DBG2";"LED";"";
"2";"";"PINHD-1X1";"1X01";"GND, JP1";"PIN HEADER";"";
"1";"";"PINHD-1X2";"1X02";"DBG_UART";"PIN HEADER";"";
"1";"";"PINHD-1X6";"1X06";"JP2";"PIN HEADER";"";
"1";"0.1uF";"C-EUC0805";"C0805";"C8";"CAPACITOR, European symbol";"";
"1";"1.5k";"R-US_R0805";"R0805";"R2";"RESISTOR, American symbol";"";
"1";"100nF";"C-EUC0805";"C0805";"C2";"CAPACITOR, European symbol";"";
"2";"10nF";"C-EUC0805";"C0805";"C4, C5";"CAPACITOR, European symbol";"";
"2";"10uF";"C-EUC1206";"C1206";"C1, C10";"CAPACITOR, European symbol";"";
"1";"110k";"R-US_R0805";"R0805";"R5";"RESISTOR, American symbol";"";
"1";"120";"R-US_R0805";"R0805";"R4";"RESISTOR, American symbol";"";
"2";"150080SS75000";"LEDSML0805";"SML0805";"LED_DATA1, LED_DBG1";"LED";"";
"2";"15k";"R-US_R0805";"R0805";"R3, R6";"RESISTOR, American symbol";"";
"1";"15uH";"NR8040T100M";"NR8040T220M";"L3";"Inducteurs fixes 8040 10uH 44.2mOhms +/-20%Tol 3.1A HiCur";"";
"1";"17.4k";"R-US_R0805";"R0805";"R10";"RESISTOR, American symbol";"";
"1";"1uF";"C-EUC0805";"C0805";"C6";"CAPACITOR, European symbol";"";
"2";"22";"R-US_R0805";"R0805";"R7, R8";"RESISTOR, American symbol";"";
"1";"22uF";"C-EUC0805";"C0805";"C3";"CAPACITOR, European symbol";"";
"1";"39pF";"C-EUC0805";"C0805";"C7";"CAPACITOR, European symbol";"";
"1";"680";"R-US_R0805";"R0805";"R1";"RESISTOR, American symbol";"";
"1";"691137710002";"691137710002";"691137710002";"NODES";"WR-TBL Serie 1377 - 5.00 mm Horiz Entry w. Pressure Clamp Glow Wire";"";
"2";"691137710004";"691137710004";"WURTH_691137710004";"J1, J2";"Term Block 4POS Side Entry 5MM Check availability";"";
"1";"BOURNS_SRF4532-510YBOURNS_SRF4532-510Y_0_0";"BOURNS_SRF4532-510YBOURNS_SRF4532-510Y_0_0";"BOURNS_SRF4532-510Y_0";"L2";"51 µH @ 100 kHz 2 Line Common Mode Choke Surface Mount 2 kOhms @ 10 MHz 200mA DCR 3.5Ohm";"";
"1";"MCP14A0305";"MCP14A0305-E/SN";"SOIC8";"U2";"";"";
"1";"MMBZ9V1ALT1GDIODES_MMBZ5225B-7-F_0_0";"MMBZ9V1ALT1GDIODES_MMBZ5225B-7-F_0_0";"SOT-23";"D1";"Diode Zener Single 3V 5% 350mW 3-Pin SOT-23 T/R";"";
"1";"RCWCTE";"RCWCTE";"RESC3216X70N";"R9";"Res 1206 0 Ohm Metal SMD Automotive Embossed Plastic T/R Check availability";"";
"1";"RICHTEK_TECHNOLOGY_RT7258CGJ6RICHTEK_TECHNOLOGY_RT8258GJ6_0_1";"RICHTEK_TECHNOLOGY_RT7258CGJ6RICHTEK_TECHNOLOGY_RT8258GJ6_0_1";"RICHTEK_TECHNOLOGY_RTX258GJ6_1";"U3";"RCHT-RT8258-6";"";
"1";"SP485CN";"SP485CN";"SOIC127P600X175-8N";"IC1";"Line Transceiver, 1-Driver, 1-Receiver, 8 Pin, Plastic, SOP";"";
