"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"9";"";"PINHD-1X1";"1X01";"DATA, DATA_EN, DATA_RX, DATA_TX, DBG_1, DBG_2, D_INV, D_NONINV, GND";"PIN HEADER";"";
"3";"0";"R-US_R0805";"R0805";"R1, R11, R12";"RESISTOR, American symbol";"";
"1";"0.1uF";"C-EUC0805";"C0805";"C8";"CAPACITOR, European symbol";"";
"1";"1.5k";"R-US_R0805";"R0805";"R3";"RESISTOR, American symbol";"";
"3";"10nF";"C-EUC0805";"C0805";"C2, C4, C5";"CAPACITOR, European symbol";"";
"3";"10uF";"C-EUC1206";"C1206";"C1, C6, C10";"CAPACITOR, European symbol";"";
"1";"120";"R-US_R0805";"R0805";"R4";"RESISTOR, American symbol";"";
"1";"150080GS75000";"LEDSML0805";"SML0805";"LED2";"LED";"";
"1";"150080SS75000";"LEDSML0805";"SML0805";"LED1";"LED";"";
"1";"15uH";"NR8040T100M";"NR8040T220M";"L3";"Inducteurs fixes 8040 10uH 44.2mOhms +/-20%Tol 3.1A HiCur";"";
"1";"17.4k";"R-US_R0805";"R0805";"R6";"RESISTOR, American symbol";"";
"2";"22";"R-US_R0805";"R0805";"R7, R8";"RESISTOR, American symbol";"";
"2";"22uF";"C-EUC0805";"C0805";"C3, C7";"CAPACITOR, European symbol";"";
"1";"4.7uF";"C-EU225-113X268";"C225-113X268";"C9";"CAPACITOR, European symbol";"";
"1";"680";"R-US_R0805";"R0805";"R2";"RESISTOR, American symbol";"";
"2";"691137710004";"691137710004";"WURTH_691137710004";"J1, J2";"Term Block 4POS Side Entry 5MM Check availability";"";
"1";"91k";"R-US_R0805";"R0805";"R5";"RESISTOR, American symbol";"";
"1";"BOURNS_SRF4532-510YBOURNS_SRF4532-510Y_0_0";"BOURNS_SRF4532-510YBOURNS_SRF4532-510Y_0_0";"BOURNS_SRF4532-510Y_0";"L2";"51 µH @ 100 kHz 2 Line Common Mode Choke Surface Mount 2 kOhms @ 10 MHz 200mA DCR 3.5Ohm";"";
"1";"MCP14A0305";"MCP14A0305-E/SN";"SOIC8";"U2";"";"";
"1";"MMBZ9V1ALT1GDIODES_MMBZ5225B-7-F_0_0";"MMBZ9V1ALT1GDIODES_MMBZ5225B-7-F_0_0";"SOT-23";"D1";"Diode Zener Single 3V 5% 350mW 3-Pin SOT-23 T/R";"";
"2";"RCWCTE";"RCWCTE";"RESC3216X70N";"R9, R10";"Res 1206 0 Ohm Metal SMD Automotive Embossed Plastic T/R Check availability";"";
"1";"RICHTEK_TECHNOLOGY_RT8258GJ6RICHTEK_TECHNOLOGY_RT8258GJ6_0_1";"RICHTEK_TECHNOLOGY_RT8258GJ6RICHTEK_TECHNOLOGY_RT8258GJ6_0_1";"RICHTEK_TECHNOLOGY_RT8258GJ6_1";"U1";"RCHT-RT8258-6";"";
"1";"SK53AFL-TP";"SK53AFL-TP";"SODFL5026X120N";"D2";"Schottky Diodes & Rectifiers 5A 30Vr 21Vrms 30V 100A Ifsm .55Vf";"";
"1";"SP485CN";"SP485CN";"SOIC127P600X175-8N";"IC1";"Line Transceiver, 1-Driver, 1-Receiver, 8 Pin, Plastic, SOP";"";
